Prompt,Answer,CoT,Verifier Judgment,Dataset,Question Type
"
You are given the following text from a novel:

So he dozed off pretty soon. By-and-by I got the old split-bottom chair
and clumb up as easy as I could, not to make any noise, and got down
the gun. I slipped the ramrod down it to make sure it was loaded, then
I laid it across the turnip barrel, pointing towards pap, and set down
behind it to wait for him to stir. And how slow and still the time did
drag along.

Question: What precaution did the narrator take to ensure the gun was ready to use?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",The narrator slipped the ramrod down the gun to make sure it was loaded.,"Step 1: The narrator wanted to ensure the gun was ready to use.
Step 2: By slipping the ramrod down the gun, they could confirm if it was loaded.
Step 3: This precaution was taken to be prepared in case they needed to use the gun against pap.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“I am sure we owe you an apology, Mrs. Toller,” said Holmes, “for you
have certainly cleared up everything which puzzled us. And here comes
the country surgeon and Mrs. Rucastle, so I think, Watson, that we had
best escort Miss Hunter back to Winchester, as it seems to me that our
_locus standi_ now is rather a questionable one.”

Question: What action does Holmes suggest they take regarding Miss Hunter after resolving the situation?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Holmes suggests escorting Miss Hunter back to Winchester.,"Step 1: Holmes acknowledges Mrs. Toller for clearing up the confusion.
Step 2: Holmes mentions the arrival of the country surgeon and Mrs. Rucastle.
Step 3: Holmes decides it's best to escort Miss Hunter back to Winchester due to their uncertain position.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

The old Princess Marya Borissovna, Kitty’s godmother, who had always
been very fond of her, had insisted on seeing her. Kitty, though she
did not go into society at all on account of her condition, went with
her father to see the venerable old lady, and there met Vronsky.

Question: Why did Kitty visit Princess Marya Borissovna despite not going into society?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
","Kitty visited Princess Marya Borissovna because her godmother insisted on seeing her, despite her not going into society.","Step 1: Princess Marya Borissovna, Kitty's godmother, had always been very fond of her. Step 2: Despite Kitty not going into society due to her condition, she went with her father to see the venerable old lady. Step 3: During this visit, Kitty met Vronsky.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

The 30th of June, the frigate spoke some American whalers, from whom we
learned that they knew nothing about the narwhal. But one of them, the
captain of the _Monroe_, knowing that Ned Land had shipped on board the
_Abraham Lincoln_, begged for his help in chasing a whale they had in
sight. Commander Farragut, desirous of seeing Ned Land at work, gave
him permission to go on board the _Monroe_. And fate served our
Canadian so well that, instead of one whale, he harpooned two with a
double blow, striking one straight to the heart, and catching the other
after some minutes’ pursuit.

Question: What action did Ned Land perform that impressed Commander Farragut during his time on the Monroe?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Harpooning two whales with a double blow.,"Step 1: American whalers knew nothing about the narwhal.
Step 2: Captain of the Monroe asked for Ned Land's help in chasing a whale.
Step 3: Commander Farragut allowed Ned Land to go on board the Monroe.
Step 4: Ned Land harpooned two whales with a double blow, impressing Commander Farragut.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

In his treatise on ""Queen-Gold,"" or Queen-pin-money, an old King's
Bench author, one William Prynne, thus discourseth: ""Ye tail is ye
Queen's, that ye Queen's wardrobe may be supplied with ye whalebone.""
Now this was written at a time when the black limber bone of the
Greenland or Right whale was largely used in ladies' bodices. But this
same bone is not in the tail; it is in the head, which is a sad mistake
for a sagacious lawyer like Prynne. But is the Queen a mermaid, to be
presented with a tail? An allegorical meaning may lurk here.

Question: What mistake did William Prynne make regarding the location of the whalebone used in ladies' bodices?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Prynne mistakenly believed that the whalebone used in ladies' bodices was located in the tail of the whale.,"Step 1: Prynne stated that ""ye tail is ye Queen's,"" implying that the whalebone used in ladies' bodices comes from the tail.
Step 2: However, the text points out that the whalebone used in ladies' bodices actually comes from the head of the whale, not the tail.
Step 3: This",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“It will not answer to mix methods, Father; neither would it be
professional courtesy.  Two of a trade must not underbid each
other.  We might as well cut rates and be done with it; it would
arrive at that in the end.  Merlin has the contract; no other
magician can touch it till he throws it up.”

Question: What is the reason given for why no other magician can take on the contract currently held by Merlin?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
","Merlin currently holds the contract, so no other magician can take it on.","Step 1: The text states ""Merlin has the contract.""
Step 2: It also states ""no other magician can touch it till he throws it up.""
Step 3: Therefore, the reason given is that Merlin currently holds the contract, preventing any other magician from taking it on.",Yes,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

This declaration having been made, and the duke having settled in his
own mind what he would do in the matter, the ladies in black withdrew,
and the duchess gave orders that for the future they were not to be
treated as servants of hers, but as lady adventurers who came to her
house to demand justice; so they gave them a room to themselves and
waited on them as they would on strangers, to the consternation of the
other women-servants, who did not know where the folly and imprudence
of Doña Rodriguez and her unlucky daughter would stop.

Question: How did the duchess decide to treat the ladies in black after the duke made his decision?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",The duchess decided to treat the ladies in black as lady adventurers who came to her house to demand justice.,"Step 1: The duke settled in his mind what he would do in the matter.
Step 2: The ladies in black were withdrawn.
Step 3: The duchess gave orders for them to be treated as lady adventurers.
Step 4: The ladies were given a room to themselves and waited on as strangers.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

He replied with his accustomary mildness to all her inquiries, but
without satisfying her in any. Elinor now began to make the tea, and
Marianne was obliged to appear again.

Question: What activity does Elinor begin after the conversation with the mild-mannered respondent?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Elinor begins to make the tea.,"Step 1: The text states, ""Elinor now began to make the tea.""
Step 2: This action follows after the conversation with the mild-mannered respondent, indicating that Elinor's response to the situation is to start preparing tea.
Step 3: Therefore, Elinor's activity after the conversation is making the tea.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“Beauty and love pass, I know.... Oh, there’s sadness, too. I
      suppose all great happiness is a little sad. Beauty means the
      scent of roses and then the death of roses—”

Question: What does the paragraph suggest is an inherent aspect of great happiness?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",The paragraph suggests that sadness is an inherent aspect of great happiness.,"Step 1: The speaker acknowledges that beauty and love pass, implying their transient nature.
Step 2: The speaker states that all great happiness is a little sad, suggesting a bittersweet quality to intense joy.
Step 3: The analogy of beauty as the scent of roses and the subsequent death of roses further illustrates this idea of happiness being intertwined with sadness.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

This speech was delivered with an energy and readiness quite unusual
with Mr. Casaubon. It was not indeed entirely an improvisation, but had
taken shape in inward colloquy, and rushed out like the round grains
from a fruit when sudden heat cracks it. Dorothea was not only his
wife: she was a personification of that shallow world which surrounds
the appreciated or desponding author.

Question: What does Dorothea personify in Mr. Casaubon's perspective as described in the paragraph?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Dorothea personifies the shallow world which surrounds the appreciated or desponding author in Mr. Casaubon's perspective.,"Step 1: Mr. Casaubon delivers a speech with unusual energy and readiness, indicating a strong emotional response.
Step 2: He views Dorothea not just as his wife, but as a representation of the shallow world that surrounds authors who are either appreciated or despondent.
Step 3: This suggests that",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

Mr Leopold Bloom ate with relish the inner organs of beasts and fowls.
He liked thick giblet soup, nutty gizzards, a stuffed roast heart,
liverslices fried with crustcrumbs, fried hencods’ roes. Most of all he
liked grilled mutton kidneys which gave to his palate a fine tang of
faintly scented urine.

Question: What specific dish does Mr. Leopold Bloom enjoy the most, according to the paragraph?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Grilled mutton kidneys,"Step 1: Mr. Leopold Bloom enjoys various dishes made from the inner organs of beasts and fowls.
Step 2: The paragraph states that he most of all liked grilled mutton kidneys.
Step 3: Therefore, the specific dish that Mr. Leopold Bloom enjoys the most is grilled mutton kidneys.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

When Oliver awoke in the morning, he was a good deal surprised to find
that a new pair of shoes, with strong thick soles, had been placed at
his bedside; and that his old shoes had been removed. At first, he was
pleased with the discovery: hoping that it might be the forerunner of
his release; but such thoughts were quickly dispelled, on his sitting
down to breakfast along with the Jew, who told him, in a tone and
manner which increased his alarm, that he was to be taken to the
residence of Bill Sikes that night.

Question: What event caused Oliver's initial hope that he might be released?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",The discovery of a new pair of shoes placed by his bedside.,"Step 1: Oliver woke up to find new shoes, leading him to believe it could be a sign of his release. Step 2: This newfound hope was quickly dispelled when he learned he would be taken to Bill Sikes' residence that night.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“It is what I want,” he said, speaking to himself; “it is just what I
want. And there are obstacles in the way: they must be hewn down. Jane,
you would not repent marrying me—be certain of that; we _must_ be
married. I repeat it: there is no other way; and undoubtedly enough of
love would follow upon marriage to render the union right even in your
eyes.”

Question: What does the speaker believe will follow marriage that will justify the union in Jane's eyes?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Enough love would follow upon marriage to render the union right in Jane's eyes.,"Step 1: The speaker believes that there are obstacles in the way of their marriage that must be overcome.
Step 2: The speaker is confident that Jane would not regret marrying him.
Step 3: The speaker believes that love would develop after marriage, justifying the union in Jane's eyes.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

Lydgate too was reticent in the midst of his confidence. He made no
allusion to Rosamond’s feeling under their trouble, and of Dorothea he
only said, “Mrs. Casaubon has been the one person to come forward and
say that she had no belief in any of the suspicions against me.”
Observing a change in Will’s face, he avoided any further mention of
her, feeling himself too ignorant of their relation to each other not
to fear that his words might have some hidden painful bearing on it.
And it occurred to him that Dorothea was the real cause of the present
visit to Middlemarch.

Question: Who was the only person to express disbelief in the suspicions against Lydgate?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Mrs. Casaubon,"Step 1: Lydgate mentions that Mrs. Casaubon was the one person to express disbelief in the suspicions against him.
Step 2: This is the only person mentioned in the text who stood up for Lydgate.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

Sisa, therefore, had the good fortune not to understand her, so
the Medusa smoothed out her eyebrows a little, while a smile of
satisfaction lighted up her face; undoubtedly she did not know Tagalog,
she was an _orofea!_

Question: What language does the Medusa character in the paragraph not understand?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Tagalog,"Step 1: The Medusa character is described as not understanding Sisa, implying she doesn't understand her language.
Step 2: The text specifically mentions Tagalog, stating that the Medusa ""undoubtedly did not know Tagalog.""",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“They’ll only get there an hour at most before us, not even that maybe.
I got Timofey ready to start. I know how he’ll go. Their pace won’t be
ours, Dmitri Fyodorovitch. How could it be? They won’t get there an
hour earlier!” Andrey, a lanky, red‐haired, middle‐aged driver, wearing
a full‐ skirted coat, and with a kaftan on his arm, replied warmly.

Question: What is Andrey's opinion about the pace at which they will travel compared to others?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
","Andrey believes that their pace will be faster than the others, so they will arrive at their destination earlier.","Step 1: Andrey mentions that Timofey is ready to start and he knows how he will go, implying confidence in their speed.
Step 2: Andrey states that the others' pace won't be theirs, indicating a belief that they will travel at a faster pace.
Step 3: Andrey confidently asserts that the others won't arrive",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

""It's some sandwiches, my dear,"" said she to Amelia. ""You may be
hungry, you know; and Becky, Becky Sharp, here's a book for you that my
sister--that is, I--Johnson's Dixonary, you know; you mustn't leave us
without that.  Good-by.  Drive on, coachman.  God bless you!""

Question: What item does Becky Sharp receive as a parting gift in the paragraph?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Becky Sharp receives a book from the speaker as a parting gift.,"Step 1: The speaker hands Becky Sharp a book as a gift.
Step 2: The book is identified as ""Johnson's Dixonary.""
Step 3: This is the only item mentioned in the paragraph that Becky receives as a gift.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

That Mr. Franklin was in love, on his side, nobody who saw and heard
him could doubt. The difficulty was to fathom Miss Rachel. Let me do
myself the honour of making you acquainted with her; after which, I
will leave you to fathom for yourself—if you can.

Question: What was the main challenge in understanding the relationship between Mr. Franklin and Miss Rachel?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Understanding Miss Rachel's feelings towards Mr. Franklin.,"Step 1: Mr. Franklin's love for Miss Rachel is evident.
Step 2: The challenge lies in fathoming Miss Rachel's feelings towards Mr. Franklin, as her thoughts and emotions are not explicitly stated.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“True.  They are thirty thousand strong.  Acres deep they will march.
Now, observe: none but _they_ will ever strike the sand-belt!  Then
there will be an episode!  Immediately after, the civilian multitude
in the rear will retire, to meet business engagements elsewhere.
None but nobles and gentry are knights, and _none but these_ will
remain to dance to our music after that episode.  It is absolutely
true that we shall have to fight nobody but these thirty thousand
knights.  Now speak, and it shall be as you decide.  Shall we
avoid the battle, retire from the field?”

Question: Who will remain to face the music after the episode on the sand-belt according to the paragraph?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
","None but nobles and gentry are knights, and none but these will remain to dance to our music after that episode.","Step 1: The text states that only nobles and gentry are knights.
Step 2: It also states that only they will remain to dance to the music after the episode.
Step 3: Therefore, according to the paragraph, only nobles and gentry will remain to face the music after the episode on the sand-belt",Yes,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

In vain did Elizabeth endeavour to check the rapidity of her mother’s
words, or persuade her to describe her felicity in a less audible
whisper; for to her inexpressible vexation she could perceive that the
chief of it was overheard by Mr. Darcy, who sat opposite to them. Her
mother only scolded her for being nonsensical.

Question: What was Elizabeth's reaction to her mother's loud expressions of happiness?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Elizabeth tried in vain to stop her mother's loud expressions of happiness.,"Step 1: Elizabeth attempted to check her mother's rapid words.
Step 2: She wanted her mother to speak in a quieter tone to avoid being overheard by Mr. Darcy.
Step 3: Elizabeth's efforts were unsuccessful, leading to her feeling vexed.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

She musingly turned to withdraw, passing near an altar-tomb, the oldest
of them all, on which was a recumbent figure. In the dusk she had not
noticed it before, and would hardly have noticed it now but for an odd
fancy that the effigy moved. As soon as she drew close to it she
discovered all in a moment that the figure was a living person; and the
shock to her sense of not having been alone was so violent that she was
quite overcome, and sank down nigh to fainting, not, however, till she
had recognized Alec d’Urberville in the form.

Question: Who did the woman recognize as the living person on the altar-tomb?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Alec d’Urberville,"Step 1: The woman passed near an altar-tomb with a recumbent figure that she thought moved.
Step 2: Upon closer inspection, she realized the figure was actually a living person.
Step 3: The shock of this discovery caused her to recognize the person as Alec d’Urberville.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

This eBook is for the use of anyone anywhere in the United States and most
    other parts of the world at no cost and with almost no restrictions
    whatsoever. You may copy it, give it away or re-use it under the terms
    of the Project Gutenberg License included with this eBook or online
    at www.gutenberg.org. If you
    are not located in the United States, you will have to check the laws
    of the country where you are located before using this eBook.

Question: What must individuals outside the United States do before using this eBook?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Check the laws of the country where they are located.,"Step 1: The text states that individuals not located in the United States must check the laws of their country before using the eBook.
Step 2: This suggests that there may be legal restrictions or requirements for using the eBook in certain countries.
Step 3: Therefore, individuals outside the United States should verify the legality of accessing the eBook in their specific location before proceeding.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“Just tell me this,” said I, “and since you know so much, you surely
_can_ tell it me—what of Mr. Rochester? How and where is he? What is he
doing? Is he well?”

Question: What specific information is the speaker seeking about Mr. Rochester in the paragraph?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",The speaker is seeking information about Mr. Rochester's well-being and current whereabouts.,"Step 1: The speaker asks about Mr. Rochester's condition by inquiring if he is well.
Step 2: The speaker also seeks information on Mr. Rochester's location and current activities.
Step 3: This indicates that the speaker is concerned about Mr. Rochester's health and wants to know how he is faring.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“I am sure I should be glad that you always should live at Middlemarch,
Mrs. Bulstrode,” said Mrs. Hackbutt, with a slight sigh. “Still, we
must learn to resign ourselves, wherever our lot may be cast. Though I
am sure there will always be people in this town who will wish you
well.”

Question: What sentiment does Mrs. Hackbutt express about Mrs. Bulstrode's potential departure from Middlemarch?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Mrs. Hackbutt expresses a mixture of sadness and acceptance at the possibility of Mrs. Bulstrode leaving Middlemarch.,"Step 1: Mrs. Hackbutt mentions being glad that Mrs. Bulstrode always lives in Middlemarch, implying she values her presence.
Step 2: She follows this with resignation that they must accept whatever circumstances come their way, suggesting a sense of inevitability.
Step 3: Despite this, she believes there will always",Yes,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“And an exceedingly interesting case it appears to be. I would not have
missed it for worlds. But there is a ring at the bell, Watson, and as
the clock makes it a few minutes after four, I have no doubt that this
will prove to be our noble client. Do not dream of going, Watson, for I
very much prefer having a witness, if only as a check to my own
memory.”

Question: What time does the clock indicate when the bell rings, suggesting the arrival of the noble client?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",A few minutes after four,"Step 1: The text mentions that the clock makes it a few minutes after four when the bell rings.
Step 2: This indicates that the arrival of the noble client is a few minutes after four o'clock.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

Levin listened to his brother and did not understand a single word, and
did not want to understand. He was only afraid his brother might ask
him some question which would make it evident he had not heard.

Question: What emotion primarily drives Levin's reaction to his brother's conversation?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Fear,Levin's lack of understanding and desire to avoid being caught out reveal his fear of being exposed as not paying attention or being ignorant. This fear drives his reluctance to engage with his brother's conversation.,No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“No, prince, she will not. Aglaya loved like a woman, like a human
being, not like an abstract spirit. Do you know what, my poor prince?
The most probable explanation of the matter is that you never loved
either the one or the other in reality.”

Question: According to the paragraph, how did Aglaya love?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
","Aglaya loved like a woman, like a human being.","Step 1: The text states ""Aglaya loved like a woman,"" indicating that Aglaya's love was characterized by human emotions and behaviors.
Step 2: The text further specifies that Aglaya loved ""like a human being,"" emphasizing that her love was not abstract or disconnected from reality.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

Hawkeye slowly shook his head, and beckoned for Duncan to follow him to a spot
to which the glare from the fire did not extend. When he had taken this
precaution, the scout placed himself in an attitude of intense attention and
listened long and keenly for a repetition of the low sound that had so
unexpectedly startled him. His vigilance, however, seemed exercised in vain;
for after a fruitless pause, he whispered to Duncan:

Question: What action did Hawkeye take to ensure they were not visible from the firelight?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Hawkeye beckoned for Duncan to follow him to a spot where the glare from the fire did not extend.,"Step 1: Hawkeye slowly shook his head and beckoned for Duncan to follow him.
Step 2: Hawkeye placed himself in an attitude of intense attention and listened for the sound.
Step 3: Hawkeye took the precaution of moving to a spot away from the firelight to ensure they were not visible.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

But with no intention of passing many more weary days there. No. I had
resolved to run away.---To go, by some means or other, down into the
country, to the only relation I had in the world, and tell my story to
my aunt, Miss Betsey. I have already observed that I don’t know how this
desperate idea came into my brain. But, once there, it remained there;
and hardened into a purpose than which I have never entertained a more
determined purpose in my life. I am far from sure that I believed there
was anything hopeful in it, but my mind was thoroughly made up that it
must be carried into execution.

Question: What was the narrator's determined purpose in the paragraph?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
","The narrator's determined purpose was to run away and seek refuge with their only living relative, Aunt Miss Betsey.","Step 1: The narrator mentions their resolution to run away and go to their aunt.
Step 2: They describe this idea as desperate but firm in their mind.
Step 3: The narrator emphasizes their determination to carry out this plan, indicating it as the most resolute purpose in their life.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

The sultan caused all the astrologers in his kingdom to be
assembled, and ordered them to calculate the infant's nativity.
They found by their observations that he would live long, and be
very brave; but that all his courage would be little enough to
carry him through the misfortunes that threatened him.  The
sultan was not daunted at this prediction: ""My son,"" said he, ""is
not to be pitied, since he will be brave: it is fit that princes
should have a taste of misfortunes; for adversity tries virtue,
and they are the better qualified to reign.""

Question: What quality did the astrologers predict the infant would possess that the sultan found reassuring despite the forecast of misfortunes?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Bravery,"Step 1: The astrologers predicted that the infant would be very brave.
Step 2: Despite the forecast of misfortunes, the sultan found reassurance in his son's bravery.
Step 3: The sultan believed that princes should face misfortunes to develop virtue, making bravery a valuable quality.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“On this level, Ahab’s hammock swings within; his head this way. A
touch, and Starbuck may survive to hug his wife and child again.—Oh
Mary! Mary!—boy! boy! boy!—But if I wake thee not to death, old man,
who can tell to what unsounded deeps Starbuck’s body this day week may
sink, with all the crew! Great God, where art thou? Shall I? shall
I?—The wind has gone down and shifted, sir; the fore and main topsails
are reefed and set; she heads her course.”

Question: What internal conflict is Starbuck experiencing as he contemplates Ahab's fate in the paragraph?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Starbuck is torn between the desire to save Ahab's life and the fear of the consequences for himself and the crew if he does not intervene.,"Step 1: Starbuck expresses concern for Ahab's life and contemplates waking him up to prevent potential danger.
Step 2: Starbuck worries about the possible consequences for himself and the crew if Ahab's actions lead to disaster, causing internal conflict.
Step 3: This conflict is highlighted",Yes,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

When on the following morning the Emperor said to the officers assembled
about him: “You have not only saved Russia, you have saved Europe!” they
all understood that the war was not ended.

Question: What did the Emperor imply about the state of the war despite praising the officers for saving Russia and Europe?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
","The Emperor implied that the war was not yet over, despite the officers' efforts in saving Russia and Europe.","Step 1: The Emperor praised the officers for saving Russia and Europe.
Step 2: The Emperor's statement ""the war was not ended"" suggests that there are still ongoing battles or conflicts that need to be addressed.
Step 3: Therefore, the Emperor implied that despite their successes, the officers still have more to do in order to bring the war to",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

Quite a number of old family friends of the Gillenormand family had
been invited; they pressed about Cosette. Each one vied with the rest
in saluting her as Madame la Baronne.

Question: What title do the old family friends of the Gillenormand family use to address Cosette?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Madame la Baronne,"Step 1: The old family friends of the Gillenormand family are mentioned.
Step 2: They are described as vying with each other in saluting Cosette.
Step 3: They address Cosette as ""Madame la Baronne,"" indicating that they use the title of ""Baronne"" to address her.",No,NovelHopQA,Literature Analysis
"
You are given the following text from a novel:

“I don’t understand you,” said Levin, sitting up in the hay; “how is it
such people don’t disgust you? I can understand a lunch with Lafitte is
all very pleasant, but don’t you dislike just that very sumptuousness?
All these people, just like our spirit monopolists in old days, get
their money in a way that gains them the contempt of everyone. They
don’t care for their contempt, and then they use their dishonest gains
to buy off the contempt they have deserved.”

Question: What is Levin's main criticism of the people he is discussing?

Answer the above question using only the information provided above and explain your reasoning/chain of thought in under 80 words total in this structured format:

Answer: <short answer here>
CoT: <your reasoning steps here ex. Step 1: ..., Step 2: ...>
",Levin's main criticism of the people he is discussing is their dishonesty and use of ill-gotten gains to buy off contempt.,"Step 1: Levin mentions that these people gain their money in a way that earns them contempt.
Step 2: He criticizes their lack of concern for the contempt they receive.
Step 3: Levin points out that they use their dishonest profits to try and alleviate the contempt they rightfully deserve.",No,NovelHopQA,Literature Analysis
